start_date,const,DOG FOOD_GENERAL MILLS_BLUE_DRY_SINGLE PACK_8.1-20.9LB (DD-MD)_REM SEGMENT_10-petco total b&m ta-dog food-dry-usa-pet_care_petco_bm-hills_ln_bp_ratio,DOG FOOD_HILLS_SCIENCE DIET_DRY_SINGLE PACK_8.1-20.9LB (DD-MD)_EVERYDAY_6-petco total b&m ta-dog food-dry-usa-pet_care_petco_bm-hills_blackfriday_flg,DOG FOOD_HILLS_SCIENCE DIET_DRY_SINGLE PACK_8.1-20.9LB (DD-MD)_EVERYDAY_6-petco total b&m ta-dog food-dry-usa-pet_care_petco_bm-hills_christmas_flg,DOG FOOD_HILLS_SCIENCE DIET_DRY_SINGLE PACK_8.1-20.9LB (DD-MD)_EVERYDAY_6-petco total b&m ta-dog food-dry-usa-pet_care_petco_bm-hills_december_flg,DOG FOOD_HILLS_SCIENCE DIET_DRY_SINGLE PACK_8.1-20.9LB (DD-MD)_EVERYDAY_6-petco total b&m ta-dog food-dry-usa-pet_care_petco_bm-hills_new_year_flg,DOG FOOD_HILLS_SCIENCE DIET_DRY_SINGLE PACK_8.1-20.9LB (DD-MD)_EVERYDAY_6-petco total b&m ta-dog food-dry-usa-pet_care_petco_bm-hills_time_trend,DOG FOOD_HILLS_SCIENCE DIET_DRY_SINGLE PACK_8.1-20.9LB (DD-MD)_EVERYDAY_6-petco total b&m ta-dog food-dry-usa-pet_care_petco_bm-hills_ln_acv,DOG FOOD_HILLS_SCIENCE DIET_DRY_SINGLE PACK_8.1-20.9LB (DD-MD)_EVERYDAY_6-petco total b&m ta-dog food-dry-usa-pet_care_petco_bm-hills_ln_base_price,DOG FOOD_HILLS_SCIENCE DIET_DRY_SINGLE PACK_8.1-20.9LB (DD-MD)_EVERYDAY_6-petco total b&m ta-dog food-dry-usa-pet_care_petco_bm-hills_yearly_seasonality_segment
2021-01-02,1.0,0.024775697612833446,0.0,0.0,0.0,0.0,1.0,4.143134726391533,3.4995332823830174,0.030137848997078526
2021-01-09,1.0,0.02630121024793395,0.0,0.0,0.0,1.0,1.01,4.07753744390572,3.5004392163118045,0.030137848997078526
2021-01-16,1.0,0.02511617475445062,0.0,0.0,0.0,0.0,1.02,4.110873864173311,3.498324092392878,0.020085667902372966
2021-01-23,1.0,0.026357639842515473,0.0,0.0,0.0,0.0,1.03,4.07753744390572,3.498324092392878,0.019191883957886836
2021-01-30,1.0,0.026357639842515473,0.0,0.0,0.0,0.0,1.04,4.127134385045092,3.498324092392878,0.01937026164795526
2021-02-06,1.0,0.031338970192719834,0.0,0.0,0.0,0.0,1.05,4.127134385045092,3.498324092392878,0.018744114193613475
2021-02-13,1.0,0.031036444097536732,0.0,0.0,0.0,0.0,1.06,4.1588830833596715,3.498021566297695,0.018382943021254372
2021-02-20,1.0,0.030733826452618917,0.0,0.0,0.0,0.0,1.07,4.1588830833596715,3.497718948652777,0.018212262302351134
2021-02-27,1.0,0.03169983845929346,0.0,0.0,0.0,0.0,1.08,4.219507705176107,3.4968105458651015,0.018840481575873584
2021-03-06,1.0,0.052332089478766344,0.0,0.0,0.0,0.0,1.09,4.174387269895637,3.4949912609485163,0.018968386224200197
2021-03-13,1.0,0.04812351767948424,0.0,0.0,0.0,0.0,1.1,4.219507705176107,3.49620448524049,0.018382088228141906
2021-03-20,1.0,0.04241465345916421,0.0,0.0,0.0,0.0,1.11,4.204692619390966,3.49620448524049,0.018447669642317765
2021-03-27,1.0,0.0408219945202552,0.0,0.0,0.0,0.0,1.12,4.189654742026425,3.4965075614664802,0.01830127003090748
2021-04-03,1.0,0.0408219945202552,0.0,0.0,0.0,0.0,1.1300000000000001,4.204692619390966,3.4965075614664802,0.018460667864041436
2021-04-10,1.0,0.041124978918876405,0.0,0.0,0.0,0.0,1.1400000000000001,4.174387269895637,3.4968105458651015,0.017918284384992073
2021-04-17,1.0,0.052332089478766344,0.0,0.0,0.0,0.0,1.1500000000000001,4.189654742026425,3.4949912609485163,0.018659671750245244
2021-04-24,1.0,0.04812351767948424,0.0,0.0,0.0,0.0,1.1600000000000001,4.204692619390966,3.49620448524049,0.01790567331171844
2021-05-01,1.0,0.04241465345916421,0.0,0.0,0.0,0.0,1.1700000000000002,4.204692619390966,3.49620448524049,0.01812502357389077
2021-05-08,1.0,0.0408219945202552,0.0,0.0,0.0,0.0,1.1800000000000002,4.23410650459726,3.4965075614664802,0.017848287178593956
2021-05-15,1.0,0.0408219945202552,0.0,0.0,0.0,0.0,1.1900000000000002,4.219507705176107,3.4965075614664802,0.017695005141024765
2021-05-22,1.0,0.04142787154575693,0.0,0.0,0.0,0.0,1.2000000000000002,4.248495242049359,3.497113438491982,0.017628660929407736
2021-05-29,1.0,0.04079675760874724,0.0,0.0,0.0,0.0,1.2100000000000002,4.23410650459726,3.497113438491982,0.01787587821367712
2021-06-05,1.0,0.04079675760874724,0.0,0.0,0.0,0.0,1.2200000000000002,4.2626798770413155,3.497113438491982,0.017839978819529947
2021-06-12,1.0,0.04016604172533487,0.0,0.0,0.0,0.0,1.2300000000000002,4.248495242049359,3.497113438491982,0.017342071414399713
2021-06-19,1.0,0.04016604172533487,0.0,0.0,0.0,0.0,1.2400000000000002,4.219507705176107,3.497113438491982,0.017480028506392013
2021-06-26,1.0,0.03670419719798062,0.0,0.0,0.0,0.0,1.2500000000000002,4.248495242049359,3.497113438491982,0.017436439807385597
2021-07-03,1.0,0.032265726753086824,0.0,0.0,0.0,0.0,1.2600000000000002,4.31748811353631,3.517497837358316,0.018740955675565614
2021-07-10,1.0,0.03498637590369247,0.0,0.0,0.0,0.0,1.2700000000000002,4.248495242049359,3.5272424885128144,0.017697389362172546
